content	username
['ikutan', 'ah', 'sapa', 'tau', 'taun', 'dpn', 'terwujud', 'duh', 'nonton', 'konser', 'coldplay', 'nonton', 'dj', 'japan']	loexbije
['coldplay', 'beneran', 'asia', 'tour', 'indo', 'fix', 'nonton']	danindrakaff
['biar', 'bmth']	sarapantahu
['coldplay', 'end', 'year', 'konser', 'indo', 'ceunah']	so_sonyaaa
['hahahaha', 'anjir', 'haji', 'kirain', 'beli', 'tiket', 'konser', 'coldplay']	odezze
['coldplay', 'des', 'biar', 'liat', 'onlen', 'hihi']	ikatrasa
['coldplay', 'announce']	peachymarkyy
['mei', 'coldplay', 'plis', 'beneran']	okkymaritasari
['jastip', 'war', 'tiket', 'coldplay']	my_dreamhanguk
['izin', 'sakit', 'nonton', 'coldplay']	cibebey_
